effectivity_date,product,price_mid
2019-04-04,DIESEL,53.8019
2019-04-04,DIESEL PLUS,43.309000000000005
2019-04-04,KEROSENE,48.25264285714286
2019-04-04,RON 91,55.5029
2019-04-04,RON 95,57.998333333333335
2019-04-09,DIESEL,54.669285714285714
2019-04-09,DIESEL PLUS,44.06285714285714
2019-04-09,KEROSENE,47.75555555555556
2019-04-09,RON 91,55.5
2019-04-09,RON 95,58.25
2019-04-17,DIESEL,55.094899999999996
2019-04-17,DIESEL PLUS,44.2505
2019-04-17,KEROSENE,49.392071428571434
2019-04-17,RON 91,56.3309
2019-04-17,RON 95,59.29833333333334
2019-04-30,RON 91,49.773500000000006
2019-04-30,RON 95,55.96083333333333
2019-04-30,RON 97,60.025
2019-05-07,RON 91,48.94992857142857
2019-05-07,RON 95,53.439166666666665
2019-05-07,RON 97,59.525
2019-05-21,DIESEL,53.54714285714285
2019-05-21,DIESEL PLUS,44.98571428571428
2019-05-21,KEROSENE,49.61833333333333
2019-05-21,RON 91,54.815
2019-05-21,RON 95,56.425000000000004
2019-05-21,RON 97,62.31
2019-06-04,RON 91,47.38964285714285
2019-06-04,RON 95,50.93666666666667
2019-06-04,RON 97,56.315
2019-06-11,DIESEL,49.51544642857142
2019-06-11,DIESEL PLUS,44.44305555555556
2019-06-11,KEROSENE,41.680882352941175
2019-06-11,RON 100,44.581875
2019-06-11,RON 91,51.51447368421052
2019-06-11,RON 95,52.14366666666667
2019-06-11,RON 97,48.26125
2019-06-19,DIESEL,49.94575
2019-06-19,DIESEL PLUS,41.70666666666666
2019-06-19,KEROSENE,43.83039473684211
2019-06-19,RON 100,46.87833333333333
2019-06-19,RON 91,51.32181034482758
2019-06-19,RON 95,52.00674418604651
2019-06-19,RON 97,55.124
2019-06-25,DIESEL,51.782105263157895
2019-06-25,DIESEL PLUS,50.16270491803279
2019-06-25,KEROSENE,42.375
2019-06-25,RON 100,44.23527777777778
2019-06-25,RON 91,52.68185714285714
2019-06-25,RON 95,54.280625
2019-06-25,RON 97,46.826
